x,y
4.98,24
9.14,21.6
4.03,34.7
2.94,33.4
5.33,36.2
5.21,28.7
12.43,22.9
19.15,27.1
29.93,16.5
17.1,18.9
20.45,15
13.27,18.9
15.71,21.7
8.26,20.4
10.26,18.2
8.47,19.9
6.58,23.1
14.67,17.5
11.69,20.2
11.28,18.2
21.02,13.6
13.83,19.6
18.72,15.2
19.88,14.5
16.3,15.6
16.51,13.9
14.81,16.6
17.28,14.8
12.8,18.4
11.98,21
22.6,12.7
13.04,14.5
27.71,13.2
18.35,13.1
20.34,13.5
9.68,18.9
11.41,20
8.77,21
10.13,24.7
4.32,30.8
1.98,34.9
7.44,50
3.16,43.5
13.65,20.7
13,21.1
6.59,25.2
7.73,24.4
6.58,35.2
3.53,32.4
2.98,32
